Rank,Player,DOB,Player ID,goodWinSum,goodLossSum,badLossSum,totalMatches,totalWins,winPct,winScalar
237,"VOLONSKI, Nikita",07 Sep 2001,100281143,0.0,0.0,1035.0,20.0,16.0,0.8,0.0
238,"GUARIN, Samuel",29 Sep 2000,100298289,0.0,89.0,807.0,18.0,9.0,0.5,0.1869747899159664
239,"MOLLEKER, Rudolf",26 Oct 2000,100208539,0.0,229.0,0.0,1.0,,,0.4790794979079498
240,"FERRARI , Gianmarco",04 Oct 2000,100306872,,,,,,,
241,"SHI, Brian",24 Feb 2000,100256058,,,,,,,
242,"HEIDE, Gustavo",28 Feb 2002,100347809,29.0,69.0,168.0,22.0,17.0,0.7727272727272727,0.26239669421487605
243,"SHARIPOV, Marat",09 Oct 2002,100248349,0.0,0.0,188.0,13.0,9.0,0.6923076923076923,0.0
244,"GINAT, Roi",18 Feb 2001,100255287,109.0,154.0,501.0,11.0,7.0,0.6363636363636364,0.7622950819672131
245,"SKIERKIER, Boruch",24 Aug 2000,100329106,,,,,,,
246,"LU, Pengyu",09 Jan 2002,100299061,121.0,94.0,2217.0,14.0,7.0,0.5,0.6829268292682927
247,"KASHIRIN, Nikita",01 Jan 2002,100257118,4.0,0.0,1264.0,28.0,22.0,0.7857142857142857,0.016194331983805668
248,"HUDD, Emile",27 May 2000,100228640,0.0,654.0,0.0,4.0,1.0,0.25,1.3185483870967742
249,"GARCIA, Alejandro",19 Nov 2001,100259238,165.0,0.0,0.0,12.0,10.0,0.8333333333333334,0.6626506024096386
250,"HAN, Nathan",15 Apr 2001,100283730,0.0,0.0,65.0,5.0,1.0,0.2,0.0
251,"KIM, Geun Jun",27 Jul 2001,100279200,,,,,,,
252,"EL MESBAHI, Soufiane",22 Feb 2001,100250961,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,0.0
253,"KOPCZYNSKI, Tomas",11 Jun 2000,100189906,0.0,0.0,491.0,3.0,,,0.0
254,"SINNER , Jannik",16 Aug 2001,100241350,,,,,,,
255,"BURRUCHAGA, Roman Andres",23 Jan 2002,100332705,0.0,0.0,0.0,,,,0.0
256,"CORNUT CHAUVINC, Antoine",07 Jul 2000,100220372,900.0,462.0,0.0,6.0,4.0,0.6666666666666666,4.41796875
257,"YAMANAKA, Taiyo",05 Sep 2001,100291641,0.0,123.0,0.0,12.0,9.0,0.75,0.23929961089494164
258,"JACOBS, Frederic",23 Jun 2000,100260608,0.0,62.0,0.0,1.0,,,0.12015503875968993
259,"WOZNIAK, Michal",28 Mar 2000,100289764,0.0,0.0,1022.0,9.0,5.0,0.5555555555555556,0.0
260,"JORDAN, Phillip",07 Nov 2000,100316591,183.0,0.0,0.0,7.0,6.0,0.8571428571428571,0.7038461538461539
261,"WELTE, Milan",30 Jun 2001,100211564,407.0,39.0,8.0,22.0,16.0,0.7272727272727273,1.6340996168582376
262,"RIVIERE PADILHA, Diego",03 Mar 2000,100259437,20.0,0.0,95.0,9.0,7.0,0.7777777777777778,0.07633587786259542
263,"SHARDA, Rishabh",09 Jan 2000,100283235,0.0,0.0,1230.0,11.0,6.0,0.5454545454545454,0.0
264,"BERNARD, Alexander",13 Aug 2003,100340940,334.0,248.0,4.0,8.0,3.0,0.375,1.7348484848484849
265,"MARINO, Pietro",03 Jun 2001,100233817,510.0,0.0,1034.0,14.0,8.0,0.5714285714285714,1.9245283018867925
266,"STRICKER, Dominic Stephan",16 Aug 2002,100252640,198.0,634.0,9.0,19.0,14.0,0.7368421052631579,1.9360902255639099
267,"ZHOU, Xinmu",22 Apr 2001,100271099,244.0,0.0,382.0,6.0,3.0,0.5,0.9138576779026217
268,"MOLLER, Elmer",09 Jul 2003,100273721,0.0,0.0,0.0,14.0,13.0,0.9285714285714286,0.0
269,"KUENKLER, Fynn",26 Jan 2001,100225454,33.0,108.0,501.0,16.0,10.0,0.625,0.32342007434944237
270,"LEUSTIAN, Stefan",18 Jan 2002,100308411,0.0,208.0,1149.0,3.0,,,0.3851851851851852
271,"LYE, Ethan Kai Xin",07 Oct 2001,100252562,0.0,172.0,946.0,8.0,4.0,0.5,0.3173431734317343
272,"NEFF, Adam",30 May 2001,100248702,0.0,220.0,235.0,9.0,6.0,0.6666666666666666,0.40441176470588236
273,"XIAO, Linang",18 Mar 2000,100286322,0.0,113.0,188.0,9.0,5.0,0.5555555555555556,0.20695970695970695
274,"BECKER, Gerhardt Marius",10 Aug 2000,100269345,0.0,0.0,2386.0,23.0,14.0,0.6086956521739131,0.0
275,"RIEDI, Leandro",27 Jan 2002,100227574,42.0,0.0,228.0,9.0,8.0,0.8888888888888888,0.15272727272727274
276,"BOSCARDIN DIAS, Pedro",28 Jan 2003,100335225,232.0,0.0,48.0,22.0,21.0,0.9545454545454546,0.8405797101449275
277,"PUSKAR, Samuel",21 Apr 2000,100217135,340.0,0.0,0.0,3.0,2.0,0.6666666666666666,1.227436823104693
278,"WHITE, Joseph",29 Jan 2001,100256232,0.0,0.0,2711.0,22.0,16.0,0.7272727272727273,0.0
279,"PARTS, Robin Erik",22 Aug 2000,100199207,0.0,429.0,203.0,12.0,6.0,0.5,0.7688172043010753
280,"SAITOH, Keisuke",29 Apr 2001,100287006,114.0,0.0,17.0,17.0,12.0,0.7058823529411765,0.40714285714285714
281,"MANDLIK, Mark",19 May 2001,100288748,437.0,0.0,205.0,11.0,6.0,0.5454545454545454,1.5551601423487544
282,"SIMON, Sahar",13 Feb 2001,100216163,0.0,0.0,362.0,6.0,2.0,0.3333333333333333,0.0
283,"AKAY, Cihan",23 Dec 2001,100224430,0.0,0.0,1989.0,17.0,9.0,0.5294117647058824,0.0
284,"ZAKHAROV, Alexey",21 Apr 2000,100198359,266.0,261.0,0.0,2.0,1.0,0.5,1.3961267605633803
285,"TORRES, Juan Bautista",02 Apr 2002,100335193,0.0,232.0,0.0,5.0,4.0,0.8,0.4070175438596491
286,"YOSHINO, Fumiya",16 Oct 2001,100268202,291.0,0.0,946.0,12.0,6.0,0.5,1.0174825174825175
287,"WOLDEAB, Siem",06 Jun 2001,100328650,,,,,,,
288,"ROLLINS, Pierce",14 Jul 2001,100283745,,,,,,,
289,"WANG, Xiaofei",10 Jan 2003,100287475,542.0,342.0,0.0,10.0,6.0,0.6,2.4671280276816607
290,"GENOV, Anthony",02 Mar 2002,100228927,0.0,81.0,0.0,2.0,,,0.1396551724137931
291,"HARPER, Cleeve",24 Dec 2000,100311960,0.0,133.0,0.0,10.0,8.0,0.8,0.22852233676975944
292,"SALAZAR, Amador",15 Feb 2001,100338470,94.0,94.0,940.0,25.0,17.0,0.68,0.4828767123287671
293,"DHOKIA, Rahul",09 Jul 2000,100214043,107.0,249.0,424.0,9.0,3.0,0.3333333333333333,0.7901023890784983
294,"ZIVOTIC, Goran",14 Jan 2002,100231514,269.0,156.0,0.0,7.0,4.0,0.5714285714285714,1.1802721088435375
295,"COLSON, Tibo",12 Jul 2000,100222312,,,,,,,
296,"YITBAREK, Simon",31 Oct 2000,100251330,,,,,,,
297,"PEROT, Raphael",30 Jun 2001,100248613,17.0,372.0,210.0,15.0,9.0,0.6,0.6835016835016835
298,"JAVIA, Dev",16 Mar 2002,100278641,0.0,179.0,1145.0,13.0,7.0,0.5384615384615384,0.30033557046979864
299,"SAU FRANCO, Alan",07 Nov 2000,100299741,7.0,0.0,933.0,23.0,16.0,0.6956521739130435,0.023411371237458192
300,"OLIVEIRA, Bruno",18 Apr 2002,100338433,0.0,139.0,1357.0,12.0,7.0,0.5833333333333334,0.23166666666666666
301,"BELOBORODKO, Illya",07 May 2001,100252577,463.0,524.0,431.0,13.0,9.0,0.6923076923076923,2.4086378737541527
302,"ROTTOLI, Lorenzo",19 Feb 2002,100276059,0.0,0.0,1591.0,11.0,5.0,0.45454545454545453,0.0
303,"ANDERSSON, Oliver",10 Jul 2000,100248023,0.0,316.0,890.0,15.0,9.0,0.6,0.5214521452145214
304,"VERBIN, Pavel",18 Oct 2001,100225778,0.0,57.0,864.0,16.0,12.0,0.75,0.09375
305,"CAULA, Bruno",10 Apr 2000,100314149,,,,,,,
306,"LEBLANC, Alexandre",11 May 2001,100294020,34.0,0.0,448.0,16.0,11.0,0.6875,0.1111111111111111
307,"WEIGHTMAN, Oscar",19 Nov 2001,100225467,471.0,41.0,38.0,18.0,15.0,0.8333333333333334,1.6009771986970684
308,"BULTE, Alex",27 May 2002,100284531,6.0,196.0,2047.0,19.0,14.0,0.7368421052631579,0.33766233766233766
309,"GALAN, Santiago",04 Aug 2000,100292588,0.0,109.0,0.0,5.0,4.0,0.8,0.17637540453074432
310,"HORAK, Vitek",06 Jul 2002,100257572,254.0,178.0,469.0,13.0,9.0,0.6923076923076923,1.1064516129032258
311,"CHAROENPHON, Yuttana",14 Aug 2000,100271697,0.0,0.0,362.0,3.0,1.0,0.3333333333333333,0.0
312,"LIN, Han-Chih",30 Jan 2002,100278892,26.0,178.0,651.0,17.0,13.0,0.7647058823529411,0.3685897435897436
313,"JOVIC, Viktor",24 Jan 2002,100249992,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,0.0
314,"DE LA FUENTE, Santiago",06 Feb 2002,100332728,,,,,,,
315,"DEN OUDEN, Guy",08 Apr 2002,100259783,231.0,0.0,1488.0,12.0,7.0,0.5833333333333334,0.7333333333333333
316,"EVANS, Tom",29 Mar 2001,100306146,640.0,153.0,15.0,15.0,12.0,0.8,2.267405063291139
317,"WORST, Christiaan",08 Mar 2000,100205206,0.0,161.0,0.0,3.0,2.0,0.6666666666666666,0.2539432176656151
318,"VILLAR, Yeudy",28 Sep 2000,100307863,0.0,46.0,155.0,3.0,1.0,0.3333333333333333,0.07232704402515723
319,"MYAGKOV , Aleksandr",09 May 2002,100251936,235.0,0.0,0.0,21.0,18.0,0.8571428571428571,0.7366771159874608
320,"VANNEMREDDY, Abhimanyu",13 Jun 2000,100271002,0.0,0.0,787.0,2.0,,,0.0
321,"POURROY, Loris",01 Jan 2001,100286857,0.0,236.0,6.0,2.0,,,0.367601246105919
322,"DI NOCERA, Riccardo",11 May 2000,100202344,,,,,,,
323,"SALAZAR, Daniel",24 Mar 2001,100348083,24.0,158.0,2089.0,19.0,16.0,0.8421052631578947,0.3188854489164087
324,"GUSTAFSSON, Carl",15 Feb 2001,100249244,263.0,0.0,692.0,11.0,7.0,0.6363636363636364,0.8117283950617284
325,"NAGOUDI, Adam",09 Sep 2000,100212676,0.0,170.0,85.0,5.0,2.0,0.4,0.26153846153846155
326,"MARTIN, Andres",07 Jul 2001,100316703,0.0,0.0,68.0,1.0,,,0.0
327,"GILL , Felix",01 Jun 2002,100306827,6.0,0.0,1020.0,8.0,5.0,0.625,0.01834862385321101
328,"BECERRA OTAROLA, Ignacio Antonio",25 Sep 2000,100335471,36.0,0.0,380.0,16.0,14.0,0.875,0.10975609756097561
329,"MONNOU, Sylvestre",22 Nov 2002,100316553,218.0,0.0,163.0,17.0,16.0,0.9411764705882353,0.662613981762918
330,"BOSANCIC, Thomas",15 Jul 2000,100280059,,,,,,,
331,"CRNOKRAK, Alexander",24 Jan 2000,100235357,775.0,0.0,0.0,14.0,13.0,0.9285714285714286,2.3413897280966767
332,"LI, Christopher",15 Jul 2003,100347292,264.0,0.0,512.0,28.0,23.0,0.8214285714285714,0.7951807228915663
333,"MEDJEDOVIC, Hamad",18 Jul 2003,100272530,301.0,608.0,85.0,12.0,8.0,0.6666666666666666,1.8168168168168168
334,"DAVIS, George",05 Jun 2001,100214783,100.0,215.0,135.0,17.0,10.0,0.5882352941176471,0.6212574850299402
335,"KIM, Dong Ju",09 Apr 2002,100279197,152.0,0.0,830.0,11.0,7.0,0.6363636363636364,0.4537313432835821
336,"DE ALVA VALDEZ, Rafael Alfonso",15 Mar 2002,100302289,136.0,44.0,3370.0,21.0,13.0,0.6190476190476191,0.47023809523809523
337,"UVAROV, Andrey",05 Dec 2000,100224789,,,,,,,
338,"JUHAS, Kristijan",04 Jun 2001,100234384,437.0,575.0,0.0,15.0,9.0,0.6,2.143491124260355
339,"WILD, Maximilian",04 Jan 2000,100275601,0.0,0.0,1062.0,6.0,3.0,0.5,0.0
340,"BOLLIPALLI, Rithvik Choudary",17 Jan 2001,100278593,,,,,,,
341,"PALUCH, Karol",14 Sep 2000,100215114,771.0,0.0,398.0,11.0,7.0,0.6363636363636364,2.2609970674486806
342,"SUEOKA, Yamato",28 Feb 2003,100329136,306.0,218.0,172.0,14.0,8.0,0.5714285714285714,1.213450292397661
343,"FUJIWARA, Tomoya",26 Sep 2001,100313570,0.0,0.0,0.0,5.0,4.0,0.8,0.0
344,"FEKETE, Janos",06 Feb 2001,100238287,0.0,231.0,2080.0,28.0,20.0,0.7142857142857143,0.33575581395348836
345,"OVCHARENKO, Oleksandr",17 Oct 2001,100228901,38.0,251.0,440.0,17.0,12.0,0.7058823529411765,0.47391304347826085
346,"BERDUSCO, Russell",28 Jan 2001,100336891,0.0,40.0,1192.0,13.0,9.0,0.6923076923076923,0.057803468208092484
347,"GOLMEI, Naithaolin Calvin",27 May 2000,100299278,0.0,0.0,1027.0,4.0,2.0,0.5,0.0
348,"KAWANO , Kai",20 Oct 2000,100262669,,,,,,,
349,"SAKAGAWA, Hiroki",29 Jan 2001,100285673,,,,,,,
350,"KROLO, Filip",11 May 2001,100233173,729.0,142.0,6.0,17.0,11.0,0.6470588235294118,2.2857142857142856
351,"URINOV, Ibrokhimjon",20 Jul 2002,100256535,0.0,0.0,0.0,0.0,,,0.0
352,"PLANINSEK, Filip Jeff",29 Jun 2001,100224262,8.0,272.0,435.0,20.0,13.0,0.65,0.4090909090909091
353,"RASAMATOV, Bekhzod",22 Mar 2002,100279762,0.0,0.0,0.0,0.0,,,0.0
354,"JORGENSEN, Sebastian Grundtvig",31 Mar 2001,100210931,473.0,0.0,0.0,5.0,5.0,1.0,1.3361581920903955
355,"RIVERA, Leyton",28 Oct 2001,100227315,0.0,0.0,0.0,0.0,,,0.0
356,"BARNAT, Jiri",26 Jul 2001,100225471,640.0,688.0,0.0,16.0,12.0,0.75,2.764044943820225
357,"DE SANTIS CARVALHO, Rodrigo",14 Mar 2000,100297717,210.0,0.0,0.0,12.0,11.0,0.9166666666666666,0.5882352941176471
358,"MINARIK, Kristof",18 Mar 2001,100250712,0.0,167.0,1127.0,10.0,4.0,0.4,0.23324022346368714
359,"ROUMPIS, Alexandros",06 Nov 2001,100289834,0.0,0.0,1320.0,12.0,6.0,0.5,0.0
360,"ARANZABAL, Mikel",22 Mar 2001,100252077,436.0,16.0,465.0,12.0,7.0,0.5833333333333334,1.2333333333333334
361,"MCDANIEL, Marcus",13 May 2002,100328632,,,,,,,
362,"LIU, Shaoyun",27 Jan 2002,100289494,186.0,0.0,650.0,14.0,9.0,0.6428571428571429,0.5138121546961326
363,"SANSON, Aland",04 Dec 2000,100301324,31.0,35.0,2466.0,8.0,4.0,0.5,0.13360881542699724
364,"IZQUIERDO LUQUE, Rafael",10 Jan 2000,100204918,,,,,,,
365,"SHEVCHENKO, Alexander",29 Nov 2000,100199048,377.0,0.0,0.0,11.0,10.0,0.9090909090909091,1.0328767123287672
366,"PALOVIC, Lukas",02 Mar 2002,100236069,88.0,0.0,259.0,14.0,10.0,0.7142857142857143,0.24043715846994534
367,"ORESHIN, Denis",23 Nov 2001,100230930,0.0,0.0,1045.0,10.0,5.0,0.5,0.0
368,"BISTON, Tom",17 Jan 2001,100245197,,,,,,,
369,"BRACHMAN, Spencer",24 Jan 2002,100314658,0.0,244.0,1170.0,11.0,7.0,0.6363636363636364,0.33062330623306235
370,"MCKENNON, Maxwell",17 May 2002,100328633,313.0,0.0,107.0,11.0,9.0,0.8181818181818182,0.845945945945946
371,"MALESEVIC, Nemanja",19 Aug 2001,100233351,0.0,0.0,266.0,6.0,2.0,0.3333333333333333,0.0
372,"MAYO, Aidan",14 May 2003,100328631,128.0,0.0,266.0,7.0,3.0,0.42857142857142855,0.34408602150537637
373,"KOTECHA, Sheil",28 Mar 2000,100243654,0.0,0.0,37.0,3.0,,,0.0
374,"SRIDHAR, Sangeet",20 Mar 2000,100253549,,,,,,,
375,"ORTENZI, Gian Marco",03 Feb 2000,100203174,,,,,,,
376,"DOMINGUEZ COLLADO, Juan Sebastian",22 Jun 2002,100312028,0.0,0.0,2119.0,30.0,21.0,0.7,0.0
377,"CARNELLO, Lancelot",01 Apr 2001,100201120,178.0,335.0,0.0,14.0,7.0,0.5,0.916445623342175
378,"CABRERA, Miguel Angel",08 Jul 2000,100324561,0.0,186.0,2288.0,28.0,20.0,0.7142857142857143,0.24603174603174602
379,"CASSONE, Murphy",16 Aug 2002,100351271,47.0,0.0,0.0,14.0,10.0,0.7142857142857143,0.12401055408970976
380,"KOVALENKO, Ostap",01 Mar 2001,100259658,0.0,76.0,2303.0,12.0,6.0,0.5,0.1
381,"GANTA, Sai Karteek Reddy",01 Jun 2000,100278621,0.0,0.0,2965.0,26.0,18.0,0.6923076923076923,0.0
382,"BECROFT, Isaac",29 Oct 2000,100273957,145.0,219.0,583.0,4.0,2.0,0.5,0.6662303664921466
383,"CASSO, Alfredo",16 Jul 2001,100302686,0.0,0.0,2240.0,27.0,18.0,0.6666666666666666,0.0
384,"TABACCO, Fausto",13 May 2002,100253552,106.0,0.0,273.0,11.0,8.0,0.7272727272727273,0.2760416666666667
385,"NUNEZ, Daniel Antonio",02 Jun 2001,100304606,0.0,57.0,0.0,3.0,2.0,0.6666666666666666,0.07402597402597402
386,"VINCENT RUGGERI, Samuel",22 May 2002,100272964,180.0,298.0,165.0,14.0,10.0,0.7142857142857143,0.8523316062176166
387,"LI, Hanwen",22 Aug 2002,100332336,416.0,329.0,0.0,23.0,14.0,0.6086956521739131,1.5
388,"GEORGESCU, Matei Adrian",14 Mar 2001,100235481,107.0,49.0,515.0,8.0,4.0,0.5,0.3389175257731959
389,"BOSIO, Gabriele",25 Nov 2000,100206630,0.0,0.0,249.0,1.0,,,0.0
390,"KIEFER, Alexander",25 Dec 2001,100327271,367.0,521.0,36.0,10.0,5.0,0.5,1.608974358974359
391,"MALGAROLI, Leonardo",07 Aug 2002,100329850,466.0,0.0,0.0,8.0,6.0,0.75,1.1918158567774937
392,"TRYAKSHIN, Mark",26 Jul 2001,100237204,171.0,336.0,609.0,14.0,8.0,0.5714285714285714,0.8647959183673469
393,"EALA, Michael Francis",23 Aug 2002,100279532,0.0,227.0,163.0,14.0,12.0,0.8571428571428571,0.28880407124681934
394,"OCANA LAVOIE, Nicolas",15 Jul 2001,100256322,68.0,356.0,976.0,7.0,4.0,0.5714285714285714,0.6243654822335025
395,"HECK, Hunter",15 May 2002,100316589,382.0,322.0,0.0,4.0,3.0,0.75,1.3746835443037975
396,"DIAZ JALIL, Angel",13 Oct 2001,100347119,0.0,269.0,685.0,20.0,15.0,0.75,0.33964646464646464
397,"LORENS , Mikolaj",30 Jan 2002,100234469,13.0,499.0,516.0,9.0,4.0,0.4444444444444444,0.6612090680100756
398,"DARDERI, Luciano",14 Feb 2002,100238364,373.0,538.0,0.0,17.0,13.0,0.7647058823529411,1.6130653266331658
399,"VANKAN, Marlon",27 Aug 2000,100211771,,,,,,,
400,"SAVVA , Stefanos",16 Feb 2001,100226265,122.0,0.0,1896.0,16.0,10.0,0.625,0.305
401,"KEREMEDCHIEV, Ivailo",30 May 2000,100206441,0.0,0.0,500.0,14.0,13.0,0.9285714285714286,0.0
402,"VISKER, Niels",05 Oct 2001,100273044,586.0,275.0,60.0,24.0,20.0,0.8333333333333334,1.7997512437810945
403,"MEHRA, Rohan",22 May 2002,100282976,0.0,0.0,0.0,6.0,6.0,1.0,0.0
404,"GUILLEN MEZA, Alvaro",02 Jan 2003,100346909,0.0,72.0,0.0,10.0,8.0,0.8,0.0891089108910891
405,"KAGEYAMA, Taisei",19 Nov 2001,100311997,0.0,0.0,1235.0,3.0,1.0,0.3333333333333333,0.0
406,"ORNBERG, Anton",02 Nov 2000,100200198,0.0,0.0,0.0,4.0,3.0,0.75,0.0
407,"MARQUES DA SILVA, Rafael",03 Sep 2001,100347810,79.0,115.0,1411.0,13.0,10.0,0.7692307692307693,0.3353808353808354
408,"CLAVERIE, Lorenzo",28 Sep 2002,100336466,317.0,248.0,0.0,10.0,7.0,0.7,1.0808823529411764
409,"MOGHIMI, Sina",27 Jul 2001,100279707,0.0,0.0,749.0,26.0,22.0,0.8461538461538461,0.0
410,"GABER, Adham",28 Jun 2000,100244537,338.0,339.0,0.0,9.0,6.0,0.6666666666666666,1.2378048780487805
411,"CHOPRA, Keshav",24 Oct 2001,100319515,246.0,267.0,1127.0,5.0,2.0,0.4,0.9233576642335767
412,"SUN, Qian",12 Jul 2001,100289799,252.0,301.0,175.0,6.0,2.0,0.3333333333333333,0.9769417475728155
413,"ALSHON, Christian",08 Jul 2000,100283718,,,,,,,
414,"HOEYERAAL, Herman",02 Oct 2001,100225254,0.0,146.0,1539.0,15.0,9.0,0.6,0.17632850241545894
415,"GONZALEZ, Diego",02 Jul 2001,100335612,155.0,364.0,696.0,28.0,20.0,0.7142857142857143,0.8120481927710843
416,"BOULAIS, Justin",20 Oct 2001,100297335,330.0,258.0,0.0,9.0,6.0,0.6666666666666666,1.1033653846153846
417,"DECKERS, Alec",02 May 2000,100204913,482.0,0.0,0.0,3.0,2.0,0.6666666666666666,1.1558752997601918
418,"FRANTZEN, Christopher",10 Aug 2001,100225847,85.0,581.0,2542.0,16.0,9.0,0.5625,0.8983253588516746
419,"IVIC, Stefan",07 Mar 2001,100236312,0.0,0.0,931.0,18.0,12.0,0.6666666666666666,0.0
420,"KUBIK, Kristian",09 Apr 2002,100254341,0.0,0.0,3428.0,13.0,7.0,0.5384615384615384,0.0
421,"TABET, Roey",21 Dec 2001,100282553,509.0,88.0,926.0,15.0,12.0,0.8,1.3135391923990498
422,"NEUMAYER, Lukas",06 Sep 2002,100254287,94.0,281.0,23.0,12.0,7.0,0.5833333333333334,0.5556872037914692
423,"HIETARANTA, Roni Mikael",24 Sep 2001,100245607,130.0,0.0,101.0,17.0,14.0,0.8235294117647058,0.3073286052009456
424,"ARAZZA, Odeda Muhammad",29 Jul 2001,100270337,0.0,0.0,649.0,16.0,12.0,0.75,0.0
425,"RIBAS CRICHIGNO, Lucas Carlos",08 Jan 2000,100328929,47.0,0.0,0.0,10.0,10.0,1.0,0.11058823529411765
426,"GU, Jin",03 Jan 2002,100307739,3.0,0.0,471.0,17.0,7.0,0.4117647058823529,0.007042253521126761
427,"MISOLIC, Filip",08 Aug 2001,100228554,600.0,529.0,118.0,17.0,14.0,0.8235294117647058,2.0245901639344264
428,"AHMED, Zyaan",02 Aug 2000,100283507,0.0,0.0,0.0,1.0,,,0.0
429,"DAMM, Martin",30 Sep 2003,100263213,0.0,0.0,0.0,6.0,2.0,0.3333333333333333,0.0
430,"STOEGER, Moritz",14 Apr 2002,100248643,0.0,70.0,2420.0,15.0,8.0,0.5333333333333333,0.08139534883720931
431,"CADONAU, Jakob",02 Feb 2002,100271282,695.0,862.0,0.0,14.0,8.0,0.5714285714285714,2.6125290023201857
432,"VELCZ, Zsombor",16 Nov 2002,100259898,0.0,0.0,239.0,8.0,3.0,0.375,0.0
433,"DAHLBERG, Mans",30 Apr 2003,100282675,0.0,0.0,3225.0,8.0,4.0,0.5,0.0
434,"SHIMIZU, Kazuki",25 Feb 2000,100263845,,,,,,,
435,"BENCIC, Brian",26 Feb 2000,100180206,,,,,,,
436,"FAUCON , Romain",04 Sep 2002,100239866,52.0,189.0,218.0,14.0,9.0,0.6428571428571429,0.3360091743119266
437,"HELLUM LILLEENGEN, Lukas",15 Nov 2000,100209082,0.0,0.0,0.0,2.0,1.0,0.5,0.0
438,"MPETSHI PERRICARD , Giovanni",08 Jul 2003,100284062,0.0,0.0,1320.0,13.0,10.0,0.7692307692307693,0.0
439,"WHITE, Cooper",03 Mar 2003,100349352,0.0,0.0,1015.0,12.0,6.0,0.5,0.0
440,"ZAKARYIA, Faris",13 May 2001,100292599,0.0,1052.0,737.0,14.0,7.0,0.5,1.1954545454545455
441,"DOSTANIC, Stefan",04 Nov 2001,100328022,0.0,0.0,0.0,1.0,,,0.0
442,"KAMATH, Madhwin",10 Nov 2001,100278651,548.0,0.0,276.0,14.0,9.0,0.6428571428571429,1.239819004524887
443,"LAGAEV, Nick",23 Apr 2001,100260403,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,0.0
444,"LEBLANC CLAVERIE, Tom",06 Jan 2001,100244531,0.0,0.0,2191.0,16.0,11.0,0.6875,0.0
445,"GONZALEZ FERNANDEZ, Mario",28 Apr 2002,100318556,618.0,310.0,0.0,5.0,4.0,0.8,1.7370786516853933
446,"SOLARES MIDENCE, Carlos Alejandro",27 Feb 2002,100299299,196.0,335.0,819.0,21.0,15.0,0.7142857142857143,0.8150224215246636
447,"ADAMEK, Makary",21 May 2001,100230371,0.0,0.0,550.0,7.0,4.0,0.5714285714285714,0.0
448,"MANDMA, Alexander Georg",01 Jan 2002,100228409,294.0,201.0,1395.0,10.0,6.0,0.6,0.8805803571428571
449,"YULIK, Viacheslav",06 Sep 2000,100189006,0.0,0.0,27.0,3.0,2.0,0.6666666666666666,0.0
450,"MILICEVIC, Lazar",30 Jul 2002,100258781,0.0,538.0,2020.0,8.0,4.0,0.5,0.5977777777777777
451,"COUTINHO, Jordan",23 Dec 2000,100302847,0.0,332.0,1535.0,13.0,7.0,0.5384615384615384,0.36807095343680707
452,"LEGOUT , Timo",13 Mar 2002,100268333,497.0,239.0,0.0,14.0,11.0,0.7857142857142857,1.363938053097345
453,"SAROUK, Yair",15 Aug 2001,100251526,,,,,,,
454,"PHILIPPOV, Evgeny",06 Feb 2002,100261278,175.0,0.0,426.0,7.0,4.0,0.5714285714285714,0.3854625550660793
455,"LAGO, Alex Cyrille",28 Aug 2001,100274064,0.0,96.0,1715.0,14.0,8.0,0.5714285714285714,0.1054945054945055
456,"WHITAKER, Spencer",12 Nov 2001,100297442,256.0,77.0,1202.0,5.0,3.0,0.6,0.6458333333333334
457,"MURAT, Yerassyl",16 Dec 2001,100326113,0.0,0.0,730.0,15.0,9.0,0.6,0.0
458,"COLLIGNON, Raphael",13 Jan 2002,100240791,0.0,60.0,1319.0,14.0,10.0,0.7142857142857143,0.06550218340611354
459,"HIRANO, Taiyo",09 Oct 2001,100235309,228.0,244.0,2069.0,20.0,13.0,0.65,0.7625272331154684
460,"VEREAU MELENDEZ, Mateo",04 May 2001,100343233,,,,,,,
461,"TAKAHATA, Riku",01 Oct 2001,100279072,351.0,482.0,0.0,12.0,8.0,0.6666666666666666,1.2841648590021693
462,"SACH, Tai",16 Sep 2002,100329695,463.0,299.0,50.0,11.0,6.0,0.5454545454545454,1.3257575757575757
463,"ZHANG, Yu",22 Aug 2002,100278922,229.0,196.0,1128.0,24.0,17.0,0.7083333333333334,0.7062634989200864
464,"VAN SCHALKWYK, Codie Schalk",22 Apr 2002,100306095,0.0,164.0,1268.0,24.0,14.0,0.5833333333333334,0.17672413793103448
465,"PINNINGTON JONES, Jack",30 Mar 2003,100262289,120.0,902.0,0.0,10.0,5.0,0.5,1.227956989247312
466,"KVANTALIANI, Mykhailo",15 Jan 2000,100206321,0.0,0.0,390.0,17.0,14.0,0.8235294117647058,0.0
467,"TANGE, Shota",10 Aug 2000,100279077,,,,,,,
468,"KYM, Jerome",12 Feb 2003,100289398,0.0,202.0,85.0,9.0,6.0,0.6666666666666666,0.21581196581196582
469,"MANSILLA DIEZ, Mario",12 May 2002,100262287,345.0,292.0,0.0,10.0,7.0,0.7,1.046908315565032
470,"YU, Hua-Chen",22 Apr 2000,100258664,,,,,,,
471,"SYDOW, Patrick",24 Jan 2000,100260589,165.0,211.0,0.0,6.0,5.0,0.8333333333333334,0.5743099787685775
