Rank,RankOpponent,eventResults,eventScore,sets,playerGames,opponentGames
191,358.0,W,3-6 6-4 6-0,3.0,15.0,10.0
191,182.0,L,6-7 2-6,2.0,8.0,13.0
191,79.0,L,6-7 2-6,2.0,8.0,13.0
191,53.0,L,2-6 4-6,2.0,6.0,12.0
191,192.0,W,3-6 6-3 6-3,3.0,15.0,12.0
191,94.0,L,1-6 1-6,2.0,2.0,12.0
192,71.0,L,3-6 1-6,2.0,4.0,12.0
192,12.0,W,6-4 6-4,2.0,12.0,8.0
192,7.0,L,2-6 1-6,2.0,3.0,12.0
192,191.0,L,6-3 3-6 3-6,3.0,12.0,15.0
193,180.0,L,6-4 2-6 3-6,3.0,11.0,16.0
193,261.0,L,7-6 5-7 1-6,3.0,13.0,19.0
193,233.0,W,6-4 3-6 6-1,3.0,15.0,11.0
193,155.0,W,6-4 6-4,2.0,12.0,8.0
193,102.0,W,6-0 7-5,2.0,13.0,5.0
193,88.0,L,3-6 6-2 2-6,3.0,11.0,14.0
193,264.0,W,6-2 6-3,2.0,12.0,5.0
193,115.0,W,6-4 7-6,2.0,13.0,10.0
193,189.0,W,6-2 7-5,2.0,13.0,7.0
193,123.0,L,3-6 2-6,2.0,5.0,12.0
193,266.0,L,7-5 4-6 1-6,3.0,12.0,17.0
193,2087.0,W,6-1 6-1,2.0,12.0,2.0
193,984.0,W,6-1 6-1,2.0,12.0,2.0
193,293.0,W,6-2 6-1,2.0,12.0,3.0
193,406.0,W,6-2 6-2,2.0,12.0,4.0
193,354.0,L,6-1 4-6 3-6,3.0,13.0,13.0
194,504.0,L,3-6 2-6,2.0,5.0,12.0
194,410.0,L,1-6 4-4 2-6,3.0,7.0,16.0
194,769.0,W,5-7 6-1 6-2,3.0,17.0,10.0
194,457.0,W,6-3 6-4,2.0,12.0,7.0
194,73.0,U,6-2,1.0,6.0,2.0
194,168.0,W,7-6 7-5,2.0,14.0,11.0
194,155.0,L,2-6 6-2 2-6,3.0,10.0,14.0
194,960.0,L,1-6 4-6,2.0,5.0,12.0
194,537.0,W,6-0 5-7 6-2,3.0,17.0,9.0
194,102.0,L,2-6 0-6,2.0,2.0,12.0
194,233.0,L,6-7 3-6,2.0,9.0,13.0
194,457.0,W,6-2 6-0,2.0,12.0,2.0
194,351.0,W,7-6 2-6 7-5,3.0,16.0,17.0
194,52.0,L,5-7 4-6,2.0,9.0,13.0
195,11.0,L,5-7 2-6,2.0,7.0,13.0
196,,W,6-2 6-3,2.0,12.0,5.0
196,236.0,W,7-5 6-3,2.0,13.0,8.0
196,68.0,W,6-7 6-3 6-2,3.0,18.0,12.0
196,294.0,W,6-4 6-3,2.0,12.0,7.0
196,66.0,L,6-3 4-6 5-7,3.0,15.0,16.0
196,596.0,W,6-1 6-4,2.0,12.0,5.0
196,358.0,W,6-3 6-2,2.0,12.0,5.0
196,141.0,W,6-3 6-3,2.0,12.0,6.0
196,69.0,L,6-4 2-6 4-6,3.0,12.0,16.0
196,162.0,W,7-6 4-6 6-2,3.0,17.0,14.0
196,213.0,W,7-5 6-2,2.0,13.0,7.0
196,94.0,W,6-2 6-2,2.0,12.0,4.0
196,39.0,L,3-6 4-6,2.0,7.0,12.0
196,147.0,L,4-6 3-6,2.0,7.0,12.0
196,28.0,L,4-6 7-6 5-7,3.0,16.0,19.0
196,209.0,W,6-3 7-6,2.0,13.0,9.0
196,13.0,L,3-6 6-2 3-6,3.0,12.0,14.0
196,258.0,W,4-6 6-4 6-2,3.0,16.0,12.0
196,21.0,L,1-6 6-2 3-6,3.0,10.0,14.0
198,292.0,L,2-6 2-6,2.0,4.0,12.0
198,980.0,W,6-2 6-2,2.0,12.0,4.0
198,276.0,L,6-7 1-6,2.0,7.0,13.0
198,1845.0,W,2-6 6-1 6-3,3.0,14.0,10.0
198,906.0,W,6-4 6-3,2.0,12.0,7.0
198,292.0,W,3-6 6-1 7-6,3.0,16.0,13.0
198,415.0,W,6-3 6-4,2.0,12.0,7.0
198,276.0,L,5-7 1-6,2.0,6.0,13.0
198,1077.0,W,6-3 6-1,2.0,12.0,4.0
198,2004.0,W,6-3 6-2,2.0,12.0,5.0
198,896.0,W,6-2 6-0,2.0,12.0,2.0
198,446.0,W,6-1 6-3,2.0,12.0,4.0
198,299.0,W,6-2 6-3,2.0,12.0,5.0
198,207.0,L,0-6 4-6,2.0,4.0,12.0
198,2768.0,W,6-0 6-0,2.0,12.0,0.0
198,539.0,L,4-6 4-6,2.0,8.0,12.0
198,1974.0,W,6-1 6-2,2.0,12.0,3.0
198,539.0,W,6-2 6-3,2.0,12.0,5.0
198,211.0,L,3-6 0-6,2.0,3.0,12.0
198,,W,6-0 6-1,2.0,12.0,1.0
198,1586.0,W,6-0 6-2,2.0,12.0,2.0
198,893.0,W,6-1 6-1,2.0,12.0,2.0
198,415.0,W,7-5 6-1,2.0,13.0,6.0
198,306.0,W,6-4 6-4,2.0,12.0,8.0
199,2768.0,W,6-0 6-3,2.0,12.0,3.0
199,61.0,W,7-5 6-3,2.0,13.0,8.0
199,71.0,L,6-7 5-7,2.0,11.0,14.0
199,504.0,W,3-6 6-0 6-4,3.0,15.0,10.0
199,125.0,L,3-6 2-6,2.0,5.0,12.0
199,,W,6-0 6-1,2.0,12.0,1.0
199,367.0,W,6-4 6-1,2.0,12.0,5.0
199,351.0,W,6-4 3-6 7-6,3.0,16.0,16.0
199,155.0,L,6-7 3-6,2.0,9.0,13.0
199,934.0,W,6-2 7-6,2.0,13.0,8.0
199,351.0,L,4-6 5-7,2.0,9.0,13.0
199,377.0,L,1-6 6-3 5-7,3.0,12.0,16.0
200,1353.0,W,6-2 6-1,2.0,12.0,3.0
200,485.0,W,6-4 6-4,2.0,12.0,8.0
200,336.0,L,6-7 6-2 3-6,3.0,15.0,15.0
200,1017.0,W,4-6 6-2 7-6,3.0,17.0,14.0
200,408.0,L,6-4 3-6 4-6,3.0,13.0,16.0
200,2768.0,U,1-6 6-2 2-0,3.0,9.0,8.0
200,896.0,W,6-4 4-6 6-4,3.0,16.0,14.0
200,276.0,L,2-6 6-4 3-6,3.0,11.0,16.0
200,242.0,W,7-6 4-6 6-4,3.0,17.0,16.0
200,309.0,W,6-3 5-7 6-4,3.0,17.0,14.0
200,396.0,W,7-6 7-5,2.0,14.0,11.0
200,165.0,L,1-6 4-6,2.0,5.0,12.0
200,1985.0,W,6-3 6-2,2.0,12.0,5.0
200,456.0,L,6-4 1-6 4-6,3.0,11.0,16.0
203,232.0,L,6-2 3-6 4-6,3.0,13.0,14.0
203,678.0,L,6-4 4-6 2-6,3.0,12.0,16.0
203,219.0,W,6-3 6-2,2.0,12.0,5.0
203,89.0,L,3-6 1-6,2.0,4.0,12.0
203,350.0,L,5-7 4-6,2.0,9.0,13.0
204,414.0,W,7-5 6-0,2.0,13.0,5.0
204,42.0,L,2-6 3-6,2.0,5.0,12.0
204,2594.0,W,6-1 6-1,2.0,12.0,2.0
204,41.0,L,6-7 2-6,2.0,8.0,13.0
206,386.0,L,2-6 6-4 5-7,3.0,13.0,17.0
206,1491.0,W,6-0 6-3,2.0,12.0,3.0
206,221.0,W,6-3 6-1,2.0,12.0,4.0
206,63.0,L,3-6 6-1 3-6,3.0,12.0,13.0
206,694.0,W,6-3 6-1,2.0,12.0,4.0
206,525.0,W,6-2 6-0,2.0,12.0,2.0
206,826.0,W,6-4 6-3,2.0,12.0,7.0
206,161.0,W,6-2 6-2,2.0,12.0,4.0
206,445.0,U,6-3 0-6 1-4,3.0,7.0,13.0
206,51.0,L,2-6 2-6,2.0,4.0,12.0
206,821.0,W,7-6 6-4,2.0,13.0,10.0
206,552.0,L,0-6 3-6,2.0,3.0,12.0
206,654.0,L,4-6 6-7,2.0,10.0,13.0
207,,,,,0.0,0.0
207,,,,,0.0,0.0
207,,,,,0.0,0.0
208,699.0,W,6-0 7-6,2.0,13.0,6.0
208,261.0,W,6-4 6-1,2.0,12.0,5.0
208,162.0,W,6-3 6-1,2.0,12.0,4.0
208,113.0,L,2-6 4-6,2.0,6.0,12.0
208,,W,6-0 6-1,2.0,12.0,1.0
208,578.0,W,6-3 6-0,2.0,12.0,3.0
208,238.0,W,7-5 7-6,2.0,14.0,11.0
208,350.0,W,5-7 6-1 6-2,3.0,17.0,10.0
208,162.0,W,6-1 6-2,2.0,12.0,3.0
208,116.0,W,6-3 6-2,2.0,12.0,5.0
208,110.0,W,6-1 6-3,2.0,12.0,4.0
208,51.0,L,6-2 3-6 1-6,3.0,10.0,14.0
209,800.0,W,6-0 6-3,2.0,12.0,3.0
209,398.0,W,4-6 6-3 7-6,3.0,17.0,15.0
209,265.0,L,6-2 5-7 4-6,3.0,15.0,15.0
209,564.0,W,1-6 6-3 6-2,3.0,13.0,11.0
209,500.0,L,7-5 6-7 3-6,3.0,16.0,18.0
209,290.0,W,7-6 6-4,2.0,13.0,10.0
209,61.0,L,0-6 6-7,2.0,6.0,13.0
209,732.0,U,4-0,1.0,4.0,0.0
209,127.0,W,6-3 5-7 7-5,3.0,18.0,15.0
209,51.0,L,3-6 1-6,2.0,4.0,12.0
209,880.0,W,6-1 6-3,2.0,12.0,4.0
209,512.0,W,6-3 6-0,2.0,12.0,3.0
209,2009.0,U,6-4 3-0,2.0,9.0,4.0
209,431.0,L,2-6 1-6,2.0,3.0,12.0
209,2181.0,W,6-1 6-2,2.0,12.0,3.0
209,1240.0,W,6-2 6-0,2.0,12.0,2.0
209,734.0,W,6-0 6-3,2.0,12.0,3.0
209,388.0,W,7-5 6-0,2.0,13.0,5.0
209,164.0,L,1-6 3-6,2.0,4.0,12.0
209,946.0,L,3-6 7-6 2-6,3.0,12.0,18.0
209,196.0,L,3-6 6-7,2.0,9.0,13.0
210,750.0,W,6-2 6-2,2.0,12.0,4.0
210,189.0,L,6-7 6-1 1-6,3.0,13.0,14.0
210,154.0,W,6-3 6-3,2.0,12.0,6.0
210,5.0,L,3-6 0-6,2.0,3.0,12.0
211,47.0,L,6-7 1-6,2.0,7.0,13.0
211,1237.0,W,6-0 6-2,2.0,12.0,2.0
211,519.0,W,6-0 6-3,2.0,12.0,3.0
211,477.0,W,6-3 6-3,2.0,12.0,6.0
211,144.0,W,6-3 6-2,2.0,12.0,5.0
211,158.0,W,6-3 6-2,2.0,12.0,5.0
211,2768.0,W,6-1 6-4,2.0,12.0,5.0
211,,W,6-0 6-0,2.0,12.0,0.0
211,500.0,L,4-6 3-6,2.0,7.0,12.0
211,,W,6-1 6-0,2.0,12.0,1.0
211,,W,6-2 6-0,2.0,12.0,2.0
211,2768.0,W,6-0 6-1,2.0,12.0,1.0
211,336.0,W,6-1 6-3,2.0,12.0,4.0
211,198.0,W,6-3 6-0,2.0,12.0,3.0
211,854.0,W,6-2 6-0,2.0,12.0,2.0
211,108.0,L,4-6 4-6,2.0,8.0,12.0
212,,W,6-0 6-1,2.0,12.0,1.0
212,,W,6-1 6-1,2.0,12.0,2.0
212,,W,6-1 6-7 6-2,3.0,18.0,10.0
212,1243.0,,,,0.0,0.0
212,2768.0,W,6-0 6-2,2.0,12.0,2.0
212,2412.0,W,6-1 6-0,2.0,12.0,1.0
212,1243.0,W,6-4 5-7 7-5,3.0,18.0,16.0
212,1439.0,U,RET,0.0,0.0,0.0
212,415.0,W,4-6 6-3 6-1,3.0,16.0,10.0
212,332.0,L,6-2 3-6 4-6,3.0,13.0,14.0
213,242.0,L,2-6 2-6,2.0,4.0,12.0
213,1709.0,W,6-0 6-3,2.0,12.0,3.0
213,462.0,L,6-1 6-7 3-6,3.0,15.0,14.0
213,1344.0,W,6-4 6-2,2.0,12.0,6.0
213,1135.0,W,7-6,2.0,7.0,6.0
213,458.0,W,6-2 6-4,2.0,12.0,6.0
213,517.0,W,6-4 6-1,2.0,12.0,5.0
213,49.0,L,1-6 2-6,2.0,3.0,12.0
213,998.0,W,7-6 7-5,2.0,14.0,11.0
213,196.0,L,5-7 2-6,2.0,7.0,13.0
213,578.0,W,4-6 6-3 7-5,3.0,17.0,14.0
213,625.0,W,6-0 6-3,2.0,12.0,3.0
213,653.0,W,6-2 7-6,2.0,13.0,8.0
213,552.0,W,6-3 6-1,2.0,12.0,4.0
213,452.0,W,7-6 7-5,2.0,14.0,11.0
213,1108.0,W,6-1 6-4,2.0,12.0,5.0
213,630.0,W,6-2 6-2,2.0,12.0,4.0
213,359.0,W,6-4 7-5,2.0,13.0,9.0
213,639.0,W,3-6 6-3 6-2,3.0,15.0,11.0
213,167.0,L,4-6 1-6,2.0,5.0,12.0
215,169.0,W,6-3 6-3,2.0,12.0,6.0
215,308.0,W,6-2 7-6,2.0,13.0,8.0
215,242.0,W,6-4 3-6 6-2,3.0,15.0,12.0
215,265.0,L,3-6 6-3 5-7,3.0,14.0,16.0
215,420.0,W,6-2 6-2,2.0,12.0,4.0
215,779.0,W,6-0 7-6,2.0,13.0,6.0
215,113.0,L,7-6 3-6 3-6,3.0,13.0,18.0
215,294.0,L,6-4 6-7 1-6,3.0,13.0,17.0
215,244.0,W,6-4 6-1,2.0,12.0,5.0
215,31.0,L,7-6 0-6 0-6,3.0,7.0,18.0
215,880.0,W,6-3 4-6 6-2,3.0,16.0,11.0
215,588.0,W,6-3 6-2,2.0,12.0,5.0
215,162.0,W,2-6 6-2 6-3,3.0,14.0,11.0
215,552.0,W,6-2 6-0,2.0,12.0,2.0
215,182.0,W,6-2 6-1,2.0,12.0,3.0
215,1111.0,W,7-6 3-6 6-3,3.0,16.0,15.0
215,1240.0,W,7-6 6-2,2.0,13.0,8.0
215,333.0,W,6-7 6-4 6-3,3.0,18.0,14.0
215,365.0,L,5-7 0-6,2.0,5.0,13.0
215,420.0,W,7-5 6-1,2.0,13.0,6.0
215,999.0,L,6-7 4-6,2.0,10.0,13.0
215,390.0,L,5-7 6-7,2.0,11.0,14.0
215,1557.0,W,6-2 6-3,2.0,12.0,5.0
215,548.0,W,6-3 6-1,2.0,12.0,4.0
215,459.0,W,6-4 7-6,2.0,13.0,10.0
215,144.0,L,6-4 0-6 4-6,3.0,10.0,16.0
218,281.0,L,3-6 5-7,2.0,8.0,13.0
218,120.0,L,5-7 3-6,2.0,8.0,13.0
219,391.0,W,6-3 6-1,2.0,12.0,4.0
219,162.0,L,3-6 1-6,2.0,4.0,12.0
219,162.0,L,4-6 2-6,2.0,6.0,12.0
219,,W,6-4 6-3,2.0,12.0,7.0
219,745.0,W,7-6 7-5,2.0,14.0,11.0
219,427.0,L,1-6 3-6,2.0,4.0,12.0
219,516.0,L,3-6 4-6,2.0,7.0,12.0
219,203.0,L,3-6 2-6,2.0,5.0,12.0
219,642.0,L,4-6 3-6,2.0,7.0,12.0
219,51.0,L,3-6 1-6,2.0,4.0,12.0
220,645.0,W,7-5 6-0,2.0,13.0,5.0
220,869.0,W,6-2 6-4,2.0,12.0,6.0
220,74.0,L,3-6 4-6,2.0,7.0,12.0
220,2412.0,U,RET,0.0,0.0,0.0
220,2139.0,W,6-4 6-2,2.0,12.0,6.0
220,2290.0,W,6-2 6-2,2.0,12.0,4.0
220,892.0,W,6-1 7-5,2.0,13.0,6.0
220,812.0,W,4-6 6-3 6-3,3.0,16.0,12.0
220,789.0,W,7-6 6-0,2.0,13.0,6.0
220,1196.0,W,6-1 6-1,2.0,12.0,2.0
220,2195.0,W,6-2 6-3,2.0,12.0,5.0
220,1732.0,W,6-2 6-1,2.0,12.0,3.0
220,1581.0,W,6-0 6-0,2.0,12.0,0.0
220,497.0,W,6-2 6-2,2.0,12.0,4.0
221,1123.0,W,4-6 6-2 6-3,3.0,16.0,11.0
221,206.0,L,3-6 1-6,2.0,4.0,12.0
221,161.0,L,6-7 1-6,2.0,7.0,13.0
221,,W,6-2 6-2,2.0,12.0,4.0
221,608.0,W,6-2 6-2,2.0,12.0,4.0
221,392.0,L,6-1 5-7 1-6,3.0,12.0,14.0
221,1183.0,W,7-5 1-6 6-3,3.0,14.0,14.0
221,916.0,W,6-0 6-2,2.0,12.0,2.0
221,527.0,W,5-7 6-4 6-3,3.0,17.0,14.0
221,303.0,W,4-6 6-4 6-3,3.0,16.0,13.0
221,454.0,W,6-3 7-5,2.0,13.0,8.0
221,1394.0,W,6-0 6-1,2.0,12.0,1.0
221,530.0,W,6-0 7-6,2.0,13.0,6.0
221,179.0,U,6-4 3-2,2.0,9.0,6.0
222,290.0,W,6-1 6-4,2.0,12.0,5.0
222,512.0,W,6-2 6-1,2.0,12.0,3.0
222,109.0,L,3-6 7-5 3-6,3.0,13.0,17.0
222,269.0,W,6-1 6-4,2.0,12.0,5.0
222,83.0,W,7-5 6-2,2.0,13.0,7.0
222,161.0,W,6-3 6-0,2.0,12.0,3.0
222,261.0,W,7-6,2.0,7.0,6.0
222,141.0,L,6-4 6-7,3.0,12.0,11.0
222,1906.0,W,6-1 6-3,2.0,12.0,4.0
222,568.0,W,7-6 6-4,2.0,13.0,10.0
222,39.0,L,3-6 2-6,2.0,5.0,12.0
222,310.0,L,2-6 4-6,2.0,6.0,12.0
223,50.0,W,6-3 6-3,2.0,12.0,6.0
223,48.0,L,4-6 4-6,2.0,8.0,12.0
224,84.0,L,6-7 4-6,2.0,10.0,13.0
226,22.0,L,3-6 1-6,2.0,4.0,12.0
226,151.0,W,6-7 6-3 6-1,3.0,18.0,11.0
226,104.0,U,4-6 6-0 1-0,3.0,11.0,6.0
226,123.0,L,1-6 1-6,2.0,2.0,12.0
226,999.0,L,1-6 1-6,2.0,2.0,12.0
227,483.0,W,6-2 6-1,2.0,12.0,3.0
227,439.0,W,7-5 6-4,2.0,13.0,9.0
227,150.0,W,6-2 2-6 6-2,3.0,14.0,10.0
227,500.0,W,6-4 6-3,2.0,12.0,7.0
227,146.0,W,4-6 6-1 7-6,3.0,17.0,13.0
227,2682.0,W,6-4 4-6 6-2,3.0,16.0,12.0
227,648.0,L,6-4 5-7 4-6,3.0,15.0,17.0
227,431.0,W,6-3 1-6 6-2,3.0,13.0,11.0
227,261.0,L,1-6 1-6,2.0,2.0,12.0
227,1132.0,W,6-4 6-2,2.0,12.0,6.0
227,483.0,W,6-2 6-3,2.0,12.0,5.0
227,280.0,W,6-3 7-5,2.0,13.0,8.0
227,127.0,L,1-6 5-7,2.0,6.0,13.0
227,123.0,L,6-4 1-6 3-6,3.0,10.0,16.0
227,,W,6-3 6-2,2.0,12.0,5.0
227,1511.0,L,5-7 3-6,2.0,8.0,13.0
228,1845.0,W,7-5 1-6 6-4,3.0,14.0,15.0
228,176.0,W,6-4 7-6,2.0,13.0,10.0
228,15.0,L,2-6 2-6,2.0,4.0,12.0
229,701.0,W,6-4 6-7 6-1,3.0,18.0,12.0
229,475.0,W,6-1 6-3,2.0,12.0,4.0
229,344.0,,,,0.0,0.0
229,,W,6-0 6-0,2.0,12.0,0.0
229,2290.0,W,6-0 6-3,2.0,12.0,3.0
229,1065.0,W,6-4 6-1,2.0,12.0,5.0
229,154.0,W,6-2 6-2,2.0,12.0,4.0
229,88.0,W,7-6 6-4,2.0,13.0,10.0
229,66.0,L,0-6 2-6,2.0,2.0,12.0
229,68.0,L,1-6 2-6,2.0,3.0,12.0
229,325.0,W,7-5 6-3,2.0,13.0,8.0
229,68.0,L,4-6 6-7,2.0,10.0,13.0
229,190.0,U,2-6 1-2,2.0,3.0,8.0
229,849.0,W,6-4 6-4,2.0,12.0,8.0
229,110.0,W,7-5 7-6,2.0,14.0,11.0
229,422.0,W,6-4 6-1,2.0,12.0,5.0
229,141.0,L,3-6 3-6,2.0,6.0,12.0
229,,W,6-2 6-1,2.0,12.0,3.0
229,505.0,U,W/O,0.0,0.0,0.0
229,78.0,L,5-7 7-5 2-6,3.0,14.0,18.0
229,587.0,U,5-7,1.0,5.0,7.0
229,234.0,W,6-2 6-7 6-0,3.0,18.0,9.0
229,117.0,W,6-4 4-6 6-1,3.0,16.0,11.0
229,79.0,L,7-5 2-6 1-6,3.0,10.0,17.0
230,51.0,L,2-6 3-6,2.0,5.0,12.0
230,665.0,W,6-1 6-7 6-2,3.0,18.0,10.0
230,176.0,W,6-1 6-4,2.0,12.0,5.0
230,139.0,L,2-6 6-4 1-6,3.0,9.0,16.0
230,2768.0,W,6-0 6-0,2.0,12.0,0.0
230,145.0,L,3-6 3-6,2.0,6.0,12.0
230,1166.0,W,6-1 6-1,2.0,12.0,2.0
230,680.0,W,6-2 6-4,2.0,12.0,6.0
230,88.0,L,3-6 6-2 4-6,3.0,13.0,14.0
231,1009.0,W,6-2 6-0,2.0,12.0,2.0
231,665.0,W,6-2 6-1,2.0,12.0,3.0
231,312.0,U,6-3 4-1,2.0,10.0,4.0
231,92.0,,,,0.0,0.0
231,459.0,W,6-1 6-1,2.0,12.0,2.0
231,555.0,L,6-3 4-6 1-6,3.0,11.0,15.0
231,938.0,W,6-0 6-1,2.0,12.0,1.0
231,459.0,L,1-6 6-2 6-7,3.0,13.0,15.0
231,819.0,W,6-3 6-3,2.0,12.0,6.0
231,334.0,W,6-2 7-6,2.0,13.0,8.0
231,111.0,W,6-4 6-2,2.0,12.0,6.0
231,134.0,L,4-6 6-3 6-7,3.0,16.0,16.0
231,524.0,W,6-2 5-7 6-2,3.0,17.0,11.0
231,95.0,W,7-5 7-5,2.0,14.0,10.0
231,121.0,L,6-2 6-7 5-7,3.0,17.0,16.0
232,144.0,W,6-3 6-3,2.0,12.0,6.0
232,5.0,L,2-6 2-6,2.0,4.0,12.0
232,203.0,W,2-6 6-3 6-4,3.0,14.0,13.0
232,54.0,W,6-1 3-6 6-3,3.0,15.0,10.0
232,12.0,L,3-6 4-6,2.0,7.0,12.0
233,2768.0,W,6-1 6-3,2.0,12.0,4.0
233,1255.0,W,6-1 6-1,2.0,12.0,2.0
233,491.0,W,6-1 6-1,2.0,12.0,2.0
233,931.0,W,6-0 6-2,2.0,12.0,2.0
233,488.0,W,6-1 6-1,2.0,12.0,2.0
233,491.0,L,7-5 4-6 4-6,3.0,15.0,17.0
233,1012.0,W,6-2 4-6 6-1,3.0,16.0,9.0
233,440.0,W,2-6 6-3 6-1,3.0,14.0,10.0
233,149.0,L,3-6 3-6,2.0,6.0,12.0
233,193.0,L,4-6 6-3 1-6,3.0,11.0,15.0
233,194.0,W,7-6 6-3,2.0,13.0,9.0
233,334.0,W,6-3 6-0,2.0,12.0,3.0
233,391.0,L,4-6 3-6,2.0,7.0,12.0
233,102.0,L,2-6 7-6 4-6,3.0,13.0,18.0
234,338.0,L,2-6 5-7,2.0,7.0,13.0
234,1235.0,W,7-5 6-4,2.0,13.0,9.0
234,921.0,U,3-0,1.0,3.0,0.0
234,307.0,L,4-6 2-6,2.0,6.0,12.0
234,1775.0,W,7-5 6-7 7-5,3.0,20.0,17.0
234,63.0,L,0-6 1-6,2.0,1.0,12.0
234,182.0,L,2-6 6-4 1-6,3.0,9.0,16.0
234,229.0,L,2-6 7-6 0-6,3.0,9.0,18.0
235,,W,6-2 6-3,2.0,12.0,5.0
235,,W,6-0 6-0,2.0,12.0,0.0
235,515.0,W,6-0 6-3,2.0,12.0,3.0
235,1565.0,W,6-2 6-2,2.0,12.0,4.0
235,421.0,L,5-7 3-6,2.0,8.0,13.0
235,830.0,W,7-6 6-2,2.0,13.0,8.0
235,421.0,W,6-3 7-5,2.0,13.0,8.0
235,303.0,W,6-2 6-2,2.0,12.0,4.0
235,98.0,W,6-1 6-2,2.0,12.0,3.0
235,127.0,L,1-6 2-6,2.0,3.0,12.0
235,414.0,W,6-1 6-3,2.0,12.0,4.0
235,465.0,W,4-6 7-5 6-3,3.0,17.0,14.0
235,238.0,W,7-5 6-3,2.0,13.0,8.0
235,132.0,W,6-4 6-4,2.0,12.0,8.0
235,150.0,W,6-2 6-3,2.0,12.0,5.0
235,1341.0,W,6-3 6-7 7-5,3.0,19.0,15.0
235,1042.0,W,6-1 6-1,2.0,12.0,2.0
235,901.0,L,4-6 4-6,2.0,8.0,12.0
235,,W,6-2 6-0,2.0,12.0,2.0
235,1752.0,W,6-3 6-2,2.0,12.0,5.0
235,1432.0,W,6-0 7-6,2.0,13.0,6.0
235,766.0,L,3-6 7-5 6-7,3.0,16.0,18.0
235,,W,6-1 6-0,2.0,12.0,1.0
235,801.0,W,6-3 6-2,2.0,12.0,5.0
235,180.0,W,6-4 6-2,2.0,12.0,6.0
235,66.0,L,2-6 2-6,2.0,4.0,12.0
235,,W,6-2 6-0,2.0,12.0,2.0
235,428.0,W,6-4 6-3,2.0,12.0,7.0
235,739.0,W,1-6 6-3 6-3,3.0,13.0,12.0
235,79.0,L,3-6 6-3 4-6,3.0,13.0,15.0
236,71.0,L,2-6 2-6,2.0,4.0,12.0
236,69.0,L,2-6 1-6,2.0,3.0,12.0
236,377.0,W,6-0 6-1,2.0,12.0,1.0
236,196.0,L,5-7 3-6,2.0,8.0,13.0
236,137.0,W,6-3 6-4,2.0,12.0,7.0
236,78.0,L,7-5 2-6 4-6,3.0,13.0,17.0
236,250.0,W,6-4 7-5,2.0,13.0,9.0
236,13.0,L,2-6 6-7,2.0,8.0,13.0
236,261.0,L,3-6 0-6,2.0,3.0,12.0
237,,W,6-2 6-1,2.0,12.0,3.0
237,,W,6-0 6-0,2.0,12.0,0.0
237,,W,6-2 6-1,2.0,12.0,3.0
237,2412.0,W,6-4 6-0,2.0,12.0,4.0
237,,W,6-3 6-3,2.0,12.0,6.0
237,1239.0,W,6-1 6-3,2.0,12.0,4.0
237,1775.0,W,6-0 6-2,2.0,12.0,2.0
237,316.0,,,,0.0,0.0
237,463.0,W,6-1 6-1,2.0,12.0,2.0
237,1284.0,W,6-2 6-1,2.0,12.0,3.0
237,99.0,U,3-6,1.0,3.0,6.0
237,2768.0,W,6-0 6-0,2.0,12.0,0.0
237,382.0,L,5-7 2-6,2.0,7.0,13.0
237,1457.0,W,6-1 6-1,2.0,12.0,2.0
237,387.0,L,6-7 4-6,2.0,10.0,13.0
237,570.0,U,6-4 4-0,2.0,10.0,4.0
237,2009.0,W,6-1 6-3,2.0,12.0,4.0
237,331.0,L,2-6 2-6,2.0,4.0,12.0
237,2768.0,W,6-3 6-0,2.0,12.0,3.0
237,2412.0,W,6-3 4-6 6-2,3.0,16.0,11.0
237,1457.0,W,6-3 6-2,2.0,12.0,5.0
237,570.0,W,6-1 6-4,2.0,12.0,5.0
237,883.0,L,4-6 2-6,2.0,6.0,12.0
238,333.0,L,1-6 2-6,2.0,3.0,12.0
238,,W,6-4 6-2,2.0,12.0,6.0
238,66.0,L,3-6 2-6,2.0,5.0,12.0
238,713.0,W,6-2 3-6 6-4,3.0,15.0,12.0
238,1632.0,W,6-1 6-1,2.0,12.0,2.0
238,235.0,L,5-7 3-6,2.0,8.0,13.0
238,2682.0,W,6-1 6-1,2.0,12.0,2.0
238,653.0,L,4-6 4-6,2.0,8.0,12.0
238,1507.0,W,6-7,3.0,6.0,7.0
238,342.0,L,4-6 2-6,2.0,6.0,12.0
238,898.0,W,6-1 6-4,2.0,12.0,5.0
238,1318.0,W,3-6 6-2 6-4,3.0,15.0,12.0
238,431.0,L,2-6 0-6,2.0,2.0,12.0
238,149.0,L,6-4 6-7 5-7,3.0,17.0,18.0
238,,W,6-2 6-3,2.0,12.0,5.0
238,430.0,W,6-3 5-7 6-1,3.0,17.0,11.0
238,87.0,L,1-6 1-6,2.0,2.0,12.0
238,66.0,L,2-6 1-6,2.0,3.0,12.0
239,10.0,L,4-6 6-4 3-6,3.0,13.0,16.0
242,2009.0,W,6-0 6-3,2.0,12.0,3.0
242,1061.0,W,7-6 6-4,2.0,13.0,10.0
242,768.0,W,6-2 6-3,2.0,12.0,5.0
242,714.0,,,,0.0,0.0
242,213.0,W,6-2 6-2,2.0,12.0,4.0
242,391.0,U,6-3 2-1,2.0,8.0,4.0
242,215.0,L,4-6 6-3 2-6,3.0,12.0,15.0
